dep;nomdep;codecommune;nomcommune;GEO_latitude;GEO_longitude;DBL_geo_point_2d;DBL_coderegion;DBL_nomregion;DBL_bug
59;NORD;59416;MORBECQUE;50.67689342861573;2.536216144331492;50.67689342861573, 2.536216144331492;31;NORD-PAS-DE-CALAIS;0
31;HAUTE-GARONNE;31225;GOUTEVERNISSE;43.214026301449536;1.173765920286677;43.214026301449536, 1.173765920286677;73;MIDI-PYRENEES;0
23;CREUSE;23025;BONNAT;46.32301933418213;1.913450631364578;46.32301933418213, 1.913450631364578;74;LIMOUSIN;0
38;ISERE;38522;VALJOUFFREY;44.88153491127053;6.07950399615059;44.88153491127053, 6.07950399615059;82;RHONE-ALPES;0
21;"""COTE-D'OR""";21249;ESBARRES;47.091069454325485;5.198246639283228;47.091069454325485, 5.198246639283228;26;BOURGOGNE;0
62;PAS-DE-CALAIS;62893;WIMEREUX;50.77924978918239;1.613432313096119;50.77924978918239, 1.613432313096119;31;NORD-PAS-DE-CALAIS;0
60;OISE;60331;LABOSSE;49.35407816266846;1.898320236754994;49.35407816266846, 1.898320236754994;22;PICARDIE;0
62;PAS-DE-CALAIS;62625;NOYELLES-LES-HUMIERES;50.37542375047368;2.1773776418561592;50.37542375047368, 2.1773776418561592;31;NORD-PAS-DE-CALAIS;0
34;HERAULT;34277;SAINT-MAURICE-NAVACELLES;43.84487342385136;3.506265066900079;43.84487342385136, 3.506265066900079;91;LANGUEDOC-ROUSSILLON;0
45;LOIRET;45149;FOUCHEROLLES;48.09716912740733;3.0183707714031742;48.09716912740733, 3.0183707714031742;24;CENTRE;0
26;DROME;26176;MARSANNE;44.64027308196128;4.883113725963492;44.64027308196128, 4.883113725963492;82;RHONE-ALPES;0
51;MARNE;51130;CHARMONT;48.86910728112316;4.870499461015932;48.869107281123156, 4.870499461015932;21;CHAMPAGNE-ARDENNE;0
76;SEINE-MARITIME;76592;SAINT-JEAN-DE-FOLLEVILLE;49.505056753004965;0.499483150434799;49.505056753004965, 0.499483150434799;23;HAUTE-NORMANDIE;0
14;CALVADOS;14556;SAINT-ANDRE-SUR-ORNE;49.12440156254746;-0.388404822316026;49.12440156254746, -0.388404822316026;25;BASSE-NORMANDIE;0
61;ORNE;61411;SAINT-JOUIN-DE-BLAVOU;48.44868202508459;0.482333338299787;48.44868202508459, 0.48233333829978703;25;BASSE-NORMANDIE;0
07;ARDECHE;07060;CHATEAUNEUF-DE-VERNOUX;44.92492404782045;4.642191100324167;44.92492404782045, 4.642191100324167;82;RHONE-ALPES;0
10;AUBE;10196;LIGNIERES;47.95693729164738;3.96407269437861;47.95693729164738, 3.96407269437861;21;CHAMPAGNE-ARDENNE;0
68;HAUT-RHIN;68062;CARSPACH;47.622493539829264;7.195029847951468;47.622493539829264, 7.195029847951468;42;ALSACE;0
50;MANCHE;50345;MONTHUCHON;49.08817736254658;-1.4202346383721172;49.08817736254658, -1.4202346383721172;25;BASSE-NORMANDIE;0
03;ALLIER;03028;BILLEZOIS;46.20948267005192;3.576882652523172;46.20948267005192, 3.576882652523172;83;AUVERGNE;0
31;HAUTE-GARONNE;31317;MARIGNAC-LASCLARES;43.30498786470456;1.106620375823203;43.30498786470456, 1.106620375823203;73;MIDI-PYRENEES;0
42;LOIRE;42170;PERREUX;46.04048973608429;4.144919260882025;46.04048973608429, 4.144919260882025;82;RHONE-ALPES;0
34;HERAULT;34045;CABRIERES;43.57779731121372;3.348006075625786;43.577797311213715, 3.348006075625786;91;LANGUEDOC-ROUSSILLON;0
