,MEN_nmen,MEN_nmencomp,codecommune
0,124,3,01001
1,53,3,01002
2,3200,159,01004
3,243,12,01005
4,29,5,01006
5,419,26,01007
6,112,9,01008
7,62,6,01009
8,203,18,01010
9,63,5,01011
10,101,9,01012
11,57,4,01013
12,444,26,01014
13,122,14,01015
14,114,15,01016
15,203,8,01017
16,141,15,01021
17,301,26,01022
18,31,4,01023
19,407,36,01024
20,437,40,01025
21,187,10,01026
22,251,23,01027
23,101,4,01028
24,166,24,01029
25,175,7,01030
26,362,23,01031
27,397,32,01032
28,3992,241,01033
29,2456,170,01034
30,80,11,01035
31,117,12,01036
32,88,16,01037
33,177,19,01038
34,118,9,01039
35,103,4,01040
36,218,6,01041
37,42,4,01042
38,751,58,01043
39,94,7,01044
40,33,3,01045
41,172,7,01046
42,72,6,01047
43,552,50,01049
44,66,10,01050
45,34,3,01051
46,60,7,01052
47,14027,633,01053
48,166,14,01054
49,76,13,01056
50,103,14,01057
51,178,18,01058
52,146,14,01060
53,129,23,01061
54,97,9,01062
55,99,7,01063
56,133,24,01064
57,248,14,01065
58,25,4,01066
59,42,4,01067
60,239,16,01068
61,155,9,01069
62,250,30,01071
63,557,39,01072
64,237,32,01073
65,444,22,01074
66,137,10,01075
67,77,5,01076
68,55,5,01077
69,232,21,01078
70,199,18,01079
71,109,13,01080
72,125,11,01081
73,155,19,01082
74,123,8,01083
75,138,14,01084
76,62,4,01085
77,74,4,01087
78,56,2,01088
79,212,13,01089
80,63,9,01090
81,230,10,01092
82,1137,46,01093
83,195,20,01094
84,141,6,01095
85,199,11,01096
86,209,21,01098
87,198,13,01099
88,50,7,01100
89,39,6,01101
90,162,23,01102
91,179,20,01103
92,125,16,01104
93,171,14,01105
94,38,8,01106
95,40,4,01107
96,361,23,01108
97,334,22,01109
98,38,5,01110
99,32,4,01111
100,58,6,01112
101,181,19,01113
102,84,4,01114
103,251,19,01115
104,109,21,01116
105,31,3,01117
106,243,32,01118
107,27,3,01121
108,239,30,01123
109,206,22,01124
110,161,13,01125
111,118,8,01127
112,72,12,01128
113,40,5,01129
114,232,17,01130
115,63,5,01133
116,273,19,01134
117,196,30,01135
118,162,14,01136
119,847,52,01138
120,203,13,01139
121,129,13,01140
122,54,11,01141
123,600,29,01142
124,1531,107,01143
125,234,16,01145
126,52,6,01146
127,163,9,01147
128,527,23,01148
129,107,8,01149
130,56,0,01150
131,228,21,01151
132,155,13,01152
133,123,10,01153
134,35,4,01155
135,95,18,01156
136,322,34,01157
137,147,16,01158
138,760,82,01159
139,2054,97,01160
140,18,1,01162
141,465,35,01163
142,119,14,01165
143,233,13,01166
144,129,5,01167
145,73,8,01169
146,75,19,01170
147,71,11,01171
148,1441,86,01173
149,36,3,01174
150,128,16,01175
151,26,3,01177
152,385,27,01179
153,144,20,01180
154,85,9,01181
155,199,12,01183
156,162,20,01184
157,1369,75,01185
158,83,15,01187
159,128,13,01188
160,275,25,01189
161,33,12,01190
162,46,4,01191
163,225,19,01192
164,46,7,01193
165,867,60,01194
166,205,13,01195
167,240,22,01196
168,65,4,01197
169,43,8,01198
170,569,25,01199
171,43,4,01200
172,1640,86,01202
173,139,15,01203
174,48,3,01204
175,62,5,01206
176,51,4,01207
177,50,7,01208
178,146,18,01209
179,62,8,01210
180,262,27,01211
181,196,16,01212
182,186,16,01213
183,34,4,01214
184,15,3,01215
185,224,22,01216
186,47,12,01219
187,416,32,01224
188,50,10,01225
189,87,12,01227
190,177,13,01228
191,191,14,01229
192,95,13,01230
193,387,34,01231
194,534,46,01232
195,33,10,01233
196,46,8,01234
197,219,27,01235
198,224,25,01236
199,266,20,01237
200,216,17,01238
201,102,14,01239
202,101,11,01240
203,224,18,01241
204,37,3,01242
205,163,9,01243
206,1075,68,01244
207,176,24,01245
208,601,31,01246
209,69,11,01247
210,132,13,01248
211,1998,132,01249
212,204,18,01250
213,134,8,01252
214,195,10,01254
215,132,9,01255
216,69,4,01257
217,123,16,01258
218,94,9,01259
219,44,1,01260
220,75,5,01261
221,1455,99,01262
222,549,34,01263
223,142,7,01264
224,832,60,01265
225,531,35,01266
226,178,31,01267
227,46,7,01268
228,1244,63,01269
229,383,26,01272
230,340,24,01273
231,156,16,01274
232,391,27,01275
233,183,15,01276
234,36,3,01277
235,25,0,01279
236,40,14,01280
237,351,36,01281
238,81,6,01282
239,7677,435,01283
240,92,11,01284
241,166,9,01285
242,53,5,01286
243,296,33,01288
244,1001,68,01289
245,179,17,01290
246,167,14,01291
247,28,4,01293
248,182,25,01294
249,72,9,01295
250,103,13,01296
251,94,10,01297
252,24,1,01298
253,69,12,01299
254,532,33,01301
255,32,5,01302
256,411,30,01303
257,725,58,01304
258,749,40,01305
259,362,21,01306
260,117,6,01307
261,198,15,01308
262,18,2,01309
263,40,1,01310
264,30,5,01311
265,482,36,01313
266,277,20,01314
267,57,4,01317
268,57,14,01318
269,80,12,01319
270,741,65,01320
271,95,8,01321
272,497,30,01322
273,220,22,01323
274,95,11,01325
275,99,8,01328
276,47,2,01329
277,60,11,01330
278,40,3,01331
279,75,5,01332
280,315,13,01333
281,110,7,01334
282,41,6,01335
283,205,31,01336
284,211,20,01337
285,185,21,01338
286,161,13,01339
287,57,8,01342
288,271,31,01343
289,1018,59,01344
290,449,16,01345
291,187,19,01346
292,219,19,01347
293,596,39,01348
294,51,6,01349
295,450,36,01350
296,264,27,01351
297,136,14,01352
298,139,12,01353
299,1069,139,01354
300,100,9,01355
301,37,0,01356
302,205,12,01357
303,100,12,01358
304,49,6,01359
305,252,21,01360
306,130,9,01361
307,92,14,01362
308,361,23,01363
309,231,19,01364
310,213,24,01365
311,105,6,01366
312,232,10,01367
313,147,8,01368
314,88,10,01369
315,696,31,01370
316,68,9,01371
317,110,11,01372
318,237,17,01373
319,308,50,01374
320,158,18,01375
321,874,69,01376
322,324,25,01378
323,169,6,01379
324,270,27,01380
325,127,12,01381
326,42,2,01382
327,250,26,01383
328,895,50,01384
329,119,13,01385
330,218,19,01386
331,36,8,01387
332,351,24,01388
333,358,27,01389
334,112,10,01390
335,91,8,01391
336,52,2,01392
337,119,10,01393
338,353,25,01396
339,67,13,01397
340,144,7,01398
341,241,16,01399
342,33,11,01400
343,195,13,01401
344,171,21,01402
345,273,24,01403
346,27,1,01404
347,182,10,01405
348,58,7,01406
349,343,21,01407
350,136,14,01408
351,54,10,01410
352,70,6,01411
353,123,9,01412
354,111,14,01415
355,677,40,01416
356,163,14,01418
357,600,44,01419
358,505,25,01420
359,174,8,01421
360,184,24,01422
361,46,7,01423
362,160,16,01424
363,53,5,01425
364,402,25,01426
365,1482,98,01427
366,26,1,01428
367,95,2,01429
368,109,7,01430
369,255,26,01431
370,76,6,01432
371,60,7,01433
372,65,5,01434
373,261,14,01435
374,94,6,01436
375,60,9,01437
376,40,4,01439
377,132,11,01441
378,801,41,01443
379,273,12,01444
380,123,14,01445
381,196,28,01446
382,306,24,01447
383,53,7,01448
384,116,9,01449
385,452,46,01450
386,1076,83,01451
387,335,22,01452
388,73,10,01453
389,148,14,01454
390,27,5,01456
391,695,44,01457
392,153,14,02001
393,152,20,02002
394,266,25,02003
395,75,10,02004
396,71,9,02005
397,110,6,02006
398,32,2,02007
399,78,2,02008
400,131,12,02009
401,45,4,02010
402,286,23,02011
403,28,3,02012
404,114,11,02013
405,172,23,02014
406,14,2,02015
407,43,9,02016
408,100,8,02017
409,568,43,02018
410,117,14,02019
411,172,19,02020
412,43,3,02021
413,117,7,02022
414,23,5,02023
415,93,11,02025
416,87,11,02027
417,531,52,02028
418,112,10,02029
419,97,15,02030
420,301,33,02031
421,80,11,02032
422,33,3,02033
423,29,2,02034
424,73,6,02035
425,28,2,02036
426,239,23,02037
427,36,3,02038
428,53,5,02039
429,82,7,02040
430,210,19,02041
431,96,5,02042
432,14,2,02043
433,155,10,02046
434,33,3,02047
435,39,1,02048
436,219,22,02049
437,117,7,02050
438,101,4,02051
439,43,3,02052
440,75,6,02053
441,108,9,02054
442,43,5,02055
443,41,5,02056
444,423,36,02057
445,206,8,02058
446,1028,80,02059
447,84,7,02060
448,92,7,02061
449,35,4,02062
450,137,16,02063
451,1095,74,02064
452,216,12,02065
453,61,3,02066
454,79,11,02067
455,32,1,02068
456,47,6,02069
457,174,10,02070
458,146,10,02071
459,53,3,02072
460,120,8,02073
461,135,17,02074
462,58,5,02075
463,16,1,02076
464,110,7,02077
465,41,3,02078
466,66,6,02079
467,71,5,02080
468,97,9,02081
469,27,3,02082
470,173,8,02083
471,47,4,02084
472,93,8,02085
473,263,16,02086
474,20,4,02088
475,347,27,02089
476,53,10,02090
477,34,1,02091
478,341,37,02093
479,91,10,02094
480,2453,145,02095
481,69,12,02096
482,76,3,02097
483,96,4,02098
484,49,3,02099
485,35,1,02100
486,71,11,02101
487,54,10,02102
488,498,29,02103
489,21,1,02104
490,56,8,02105
491,182,11,02106
492,13,1,02107
493,37,1,02108
494,165,18,02109
495,593,36,02110
496,136,14,02111
497,228,19,02112
498,360,28,02114
499,59,6,02115
500,69,7,02116
501,20,2,02117
502,31,3,02118
503,78,5,02119
504,49,5,02120
505,80,5,02121
506,105,11,02123
507,248,15,02124
508,57,10,02125
509,188,12,02126
510,58,10,02127
511,356,27,02128
512,79,4,02130
513,494,37,02131
514,55,5,02132
515,173,15,02133
516,239,18,02134
517,403,43,02135
518,53,2,02136
519,26,1,02137
520,40,4,02138
521,90,7,02139
522,117,8,02140
523,703,60,02141
524,46,5,02142
525,81,10,02143
526,48,5,02144
527,89,7,02145
528,32,3,02146
529,73,5,02148
530,19,4,02149
531,14,1,02150
532,39,2,02151
533,24,0,02152
534,94,5,02153
535,73,6,02154
536,49,3,02155
537,78,7,02156
538,148,15,02157
539,46,3,02158
540,103,14,02159
541,200,16,02160
542,49,10,02162
543,629,57,02163
544,71,8,02164
545,591,47,02165
546,174,6,02167
547,4550,274,02168
548,33,2,02169
549,40,3,02170
550,18,2,02171
551,67,14,02172
552,4484,321,02173
553,201,13,02174
554,44,1,02175
555,46,6,02176
556,39,3,02177
557,26,3,02178
558,91,12,02179
559,186,19,02180
560,46,4,02181
561,45,3,02182
562,59,4,02183
563,89,7,02184
564,102,10,02185
565,368,29,02186
566,377,29,02187
567,78,6,02188
568,104,10,02189
569,117,16,02190
570,126,10,02191
571,99,4,02192
572,30,7,02193
573,73,10,02194
574,169,13,02195
575,79,9,02196
576,163,9,02197
577,51,3,02198
578,142,16,02199
579,51,5,02200
580,117,10,02201
581,273,23,02203
582,35,5,02204
583,43,7,02205
584,23,3,02206
585,43,7,02207
586,63,1,02208
587,222,14,02209
588,71,4,02210
589,98,3,02211
590,193,17,02212
591,61,6,02213
592,153,15,02215
593,62,5,02216
594,353,27,02217
595,164,8,02218
596,64,8,02219
597,134,11,02220
598,34,3,02221
599,69,7,02223
600,73,5,02224
601,15,1,02225
602,508,50,02226
603,44,2,02227
604,72,7,02228
605,17,1,02229
606,52,3,02230
607,188,17,02231
608,60,3,02232
609,39,3,02233
610,35,2,02234
611,30,2,02235
612,85,3,02236
613,469,42,02237
614,436,36,02238
615,306,23,02239
616,87,5,02240
617,28,3,02241
618,213,16,02242
619,945,79,02243
620,443,38,02245
621,143,10,02246
622,39,1,02248
623,36,3,02249
