,DBL_dep,DBL_nomdep,DBL_nomcommune,codecommune,RSA_nrsa2017,RSA_nrsa2021,RSA_prsa2017,RSA_prsa2021
0,10,AUBE,AILLEVILLE,10002,0,17,0.0,0.075221241
1,10,AUBE,AIX-VILLEMAUR-PÂLIS,10003,244,189,0.068655036,0.053632237
2,10,AUBE,ALLIBAUDIÈRES,10004,5,10,0.023923445,0.05319149
3,10,AUBE,AMANCE,10005,8,6,0.02919708,0.024390243
4,10,AUBE,ARCIS-SUR-AUBE,10006,151,164,0.05261324,0.05907781
5,10,AUBE,ARCONVILLE,10007,5,0,0.047619049,0.0
6,10,AUBE,ARGANCON,10008,0,0,0.0,0.0
7,10,AUBE,ARRELLES,10009,5,0,0.058139537,0.0
8,10,AUBE,ARRENTIÈRES,10011,0,0,0.0,0.0
9,10,AUBE,ARSONVAL,10012,0,0,0.0,0.0
10,10,AUBE,ASSENAY,10013,0,0,0.0,0.0
11,10,AUBE,ASSENCIÈRES,10014,0,9,0.0,0.05027933
12,10,AUBE,AUBETERRE,10015,0,0,0.0,0.0
13,10,AUBE,AULNAY,10017,0,0,0.0,0.0
14,10,AUBE,AUXON,10018,27,24,0.026865672,0.02264151
15,10,AUBE,VAL-D'AUZON,10019,0,0,0.0,0.0
16,10,AUBE,AVANT-LÈS-MARCILLY,10020,14,6,0.027559055,0.011904762
17,10,AUBE,AVANT-LÈS-RAMERUPT,10021,0,7,0.0,0.044303797
18,10,AUBE,AVIREY-LINGEY,10022,0,0,0.0,0.0
19,10,AUBE,AVON-LA-PÈZE,10023,9,0,0.046632126,0.0
20,10,AUBE,AVREUIL,10024,0,0,0.0,0.0
21,10,AUBE,BAGNEUX-LA-FOSSE,10025,0,0,0.0,0.0
22,10,AUBE,BALIGNICOURT,10027,0,0,0.0,0.0
23,10,AUBE,BALNOT-LA-GRANGE,10028,0,0,0.0,0.0
24,10,AUBE,BALNOT-SUR-LAIGNES,10029,0,0,0.0,0.0
25,10,AUBE,BARBEREY-SAINT-SULPICE,10030,52,44,0.035886817,0.027465668
26,10,AUBE,BARBUISE,10031,5,11,0.010752688,0.022312373
27,10,AUBE,BAROVILLE,10032,0,0,0.0,0.0
28,10,AUBE,BAR-SUR-AUBE,10033,368,423,0.075071402,0.090076663
29,10,AUBE,BAR-SUR-SEINE,10034,247,253,0.081842281,0.087031305
30,10,AUBE,BAYEL,10035,20,23,0.026385223,0.03125
31,10,AUBE,BERCENAY-EN-OTHE,10037,18,27,0.03773585,0.061085973
32,10,AUBE,BERCENAY-LE-HAYER,10038,0,10,0.0,0.050000001
33,10,AUBE,BERGÈRES,10039,0,0,0.0,0.0
34,10,AUBE,BERNON,10040,7,7,0.042682927,0.045751635
35,10,AUBE,BÉRULLE,10042,10,18,0.042735044,0.095238097
36,10,AUBE,BESSY,10043,0,0,0.0,0.0
37,10,AUBE,BEUREY,10045,0,7,0.0,0.039772727
38,10,AUBE,BLAINCOURT-SUR-AUBE,10046,0,0,0.0,0.0
39,10,AUBE,BLIGNY,10048,0,6,0.0,0.038709678
40,10,AUBE,BORDES-AUMONT,10049,10,10,0.018416205,0.019193858
41,10,AUBE,BOSSANCOURT,10050,0,5,0.0,0.025252525
42,10,AUBE,BOUILLY,10051,36,31,0.033519555,0.028105168
43,10,AUBE,BOULAGES,10052,7,12,0.03167421,0.05882353
44,10,AUBE,BOURANTON,10053,0,0,0.0,0.0
45,10,AUBE,BOURDENAY,10054,0,7,0.0,0.067961164
46,10,AUBE,BOURGUIGNONS,10055,9,0,0.031802122,0.0
47,10,AUBE,BOUY-LUXEMBOURG,10056,6,0,0.02631579,0.0
48,10,AUBE,BRAGELOGNE-BEAUVOIR,10058,0,0,0.0,0.0
49,10,AUBE,BRAUX,10059,8,0,0.074074075,0.0
50,10,AUBE,BRÉVIANDES,10060,171,155,0.060509555,0.052937157
51,10,AUBE,BRÉVONNES,10061,17,16,0.024781341,0.024205748
52,10,AUBE,BRIEL-SUR-BARSE,10062,0,0,0.0,0.0
53,10,AUBE,BRIENNE-LA-VIEILLE,10063,17,11,0.040189125,0.028061224
54,10,AUBE,BRIENNE-LE-CHÂTEAU,10064,204,195,0.072186835,0.072062083
55,10,AUBE,BRILLECOURT,10065,0,0,0.0,0.0
56,10,AUBE,BUCEY-EN-OTHE,10066,0,0,0.0,0.0
57,10,AUBE,BUCHÈRES,10067,48,72,0.028436018,0.037037037
58,10,AUBE,BUXEUIL,10068,0,0,0.0,0.0
59,10,AUBE,BUXIÈRES-SUR-ARCE,10069,0,0,0.0,0.0
60,10,AUBE,CELLES-SUR-OURCE,10070,7,0,0.013861386,0.0
61,10,AUBE,CHACENAY,10071,0,0,0.0,0.0
62,10,AUBE,CHALETTE-SUR-VOIRE,10073,0,0,0.0,0.0
63,10,AUBE,CHAMOY,10074,6,6,0.011811024,0.011764706
64,10,AUBE,CHAMPFLEURY,10075,0,9,0.0,0.10588235
65,10,AUBE,CHAMPIGNOL-LEZ-MONDEVILLE,10076,7,0,0.025362318,0.0
66,10,AUBE,CHAMPIGNY-SUR-AUBE,10077,0,7,0.0,0.061403509
67,10,AUBE,CHANNES,10079,0,0,0.0,0.0
68,10,AUBE,CHAOURCE,10080,45,56,0.041628122,0.055390701
69,10,AUBE,CHAPELLE-SAINT-LUC,10081,1990,2145,0.16153909,0.18707483
70,10,AUBE,CHAPELLE-VALLON,10082,10,5,0.041152265,0.020491803
71,10,AUBE,CHAPPES,10083,0,0,0.0,0.0
72,10,AUBE,CHARMONT-SOUS-BARBUISE,10084,7,0,0.0068829893,0.0
73,10,AUBE,CHARMOY,10085,0,0,0.0,0.0
74,10,AUBE,CHARNY-LE-BACHOT,10086,6,0,0.023255814,0.0
75,10,AUBE,CHÂTRES,10089,11,21,0.015736766,0.030259365
76,10,AUBE,CHAUCHIGNY,10090,0,0,0.0,0.0
77,10,AUBE,CHAUDREY,10091,0,0,0.0,0.0
78,10,AUBE,CHAUFFOUR-LÈS-BAILLY,10092,0,0,0.0,0.0
79,10,AUBE,CHAUMESNIL,10093,5,0,0.048543688,0.0
80,10,AUBE,CHAVANGES,10094,59,52,0.099830799,0.088888891
81,10,AUBE,CHÊNE,10095,5,0,0.017064847,0.0
82,10,AUBE,CHENNEGY,10096,11,15,0.025114154,0.034722224
83,10,AUBE,CHERVEY,10097,0,0,0.0,0.0
84,10,AUBE,CHESLEY,10098,12,11,0.036923077,0.034161489
85,10,AUBE,CHESSY-LES-PRÉS,10099,6,25,0.011976048,0.048076924
86,10,AUBE,CLÉREY,10100,40,33,0.036363635,0.028998243
87,10,AUBE,COCLOIS,10101,13,0,0.073033705,0.0
88,10,AUBE,COLOMBÉ-LA-FOSSE,10102,0,7,0.0,0.037837837
