dep;nomdep;codecommune;nomcommune
01;AIN;01001;L'ABERGEMENT-CLÉMENCIAT
01;AIN;01002;L'ABERGEMENT-DE-VAREY
01;AIN;01004;AMBÉRIEU-EN-BUGEY
01;AIN;01005;AMBÉRIEUX-EN-DOMBES
01;AIN;01006;AMBLÉON
01;AIN;01007;AMBRONAY
01;AIN;01008;AMBUTRIX
01;AIN;01009;ANDERT-ET-CONDON
01;AIN;01010;ANGLEFORT
01;AIN;01011;APREMONT
01;AIN;01012;ARANC
01;AIN;01013;ARANDAS
01;AIN;01014;ARBENT
01;AIN;01015;ARBOYS EN BUGEY
01;AIN;01016;ARBIGNY
01;AIN;01017;ARGIS
01;AIN;01021;ARS-SUR-FORMANS
01;AIN;01022;ARTEMARE
01;AIN;01023;ASNIÈRES-SUR-SAÔNE
01;AIN;01024;ATTIGNAT
01;AIN;01025;BÂGÉ-DOMMARTIN
01;AIN;01026;BÂGÉ-LE-CHÂTEL
01;AIN;01027;BALAN
01;AIN;01028;BANEINS
01;AIN;01029;BEAUPONT
01;AIN;01030;BEAUREGARD
01;AIN;01031;BELLIGNAT
01;AIN;01032;BÉLIGNEUX
01;AIN;01033;VALSERHÔNE
01;AIN;01034;BELLEY
01;AIN;01035;BELLEYDOUX
01;AIN;01036;VALROMEY-SUR-SERAN
01;AIN;01037;BÉNONCES
01;AIN;01038;BÉNY
01;AIN;01039;BÉON
01;AIN;01040;BÉRÉZIAT
01;AIN;01041;BETTANT
01;AIN;01042;BEY
01;AIN;01043;BEYNOST
01;AIN;01044;BILLIAT
01;AIN;01045;BIRIEUX
01;AIN;01046;BIZIAT
01;AIN;01047;BLYES
01;AIN;01049;LA BOISSE
01;AIN;01050;BOISSEY
01;AIN;01051;BOLOZON
01;AIN;01052;BOULIGNEUX
01;AIN;01053;BOURG-EN-BRESSE
01;AIN;01054;BOURG-SAINT-CHRISTOPHE
01;AIN;01056;BOYEUX-SAINT-JÉRÔME
01;AIN;01057;BOZ
01;AIN;01058;BRÉGNIER-CORDON
01;AIN;01060;BRÉNOD
01;AIN;01061;BRENS
01;AIN;01062;BRESSOLLES
01;AIN;01063;BRION
01;AIN;01064;BRIORD
01;AIN;01065;BUELLAS
01;AIN;01066;LA BURBANCHE
01;AIN;01067;CEIGNES
01;AIN;01068;CERDON
01;AIN;01069;CERTINES
01;AIN;01071;CESSY
01;AIN;01072;CEYZÉRIAT
01;AIN;01073;CEYZÉRIEU
01;AIN;01074;CHALAMONT
01;AIN;01075;CHALEINS
01;AIN;01076;CHALEY
01;AIN;01077;CHALLES-LA-MONTAGNE
01;AIN;01078;CHALLEX
01;AIN;01079;CHAMPAGNE-EN-VALROMEY
01;AIN;01080;CHAMPDOR-CORCELLES
01;AIN;01081;CHAMPFROMIER
01;AIN;01082;CHANAY
01;AIN;01083;CHANEINS
01;AIN;01084;CHANOZ-CHÂTENAY
01;AIN;01085;LA CHAPELLE-DU-CHÂTELARD
